State/UTs,Confirmed,Active,Recovered,Deceased,rural ,urban
Andaman and Nicobar,33,16,17,0,70.53,29.47
Andhra Pradesh,1583,1062,488,33,77.06,22.94
,,,,,85.9,14.1
Arunachal Pradesh,1,0,1,0,88.71,11.29
Assam,43,10,32,1,2.75,97.25
Bihar,482,361,117,4,76.76,23.24
Chandigarh,94,75,19,0,53.28,46.72
Chhattisgarh,43,7,36,0,24.83,75.17
Delhi,4122,2802,1256,64,2.5,97.5
Goa,7,0,7,0,37.83,62.17
Gujarat,5055,3897,896,262,57.4,42.6
Haryana,394,163,227,4,65.12,34.88
Himachal Pradesh,40,6,33,1,89.97,10.03
Jammu and Kashmir,666,404,254,8,72.62,27.38
Jharkhand,115,90,22,3,75.95,24.05
Karnataka,606,299,282,25,61.33,38.67
Kerala,500,96,400,4,52.3,47.7
Ladakh,40,23,17,0,21.93,78.07
Madhya Pradesh,2846,1892,798,156,72.37,27.63
Maharashtra,12296,9775,2000,521,54.78,45.22
Manipur,2,0,2,0,70.79,29.21
Meghalaya,12,11,0,1,79.93,20.07
Mizoram,1,1,0,0,47.89,52.11
Odisha,160,103,56,1,71.14,28.86
Puducherry,8,3,5,0,83.31,16.69
Punjab,772,640,112,20,31.67,68.33
Rajasthan,2770,1584,1121,65,62.52,37.48
Tamil Nadu,2757,1387,1341,29,75.13,24.87
Telengana,1063,577,458,28,74.85,25.15
Tripura,4,2,2,0,51.6,48.4
Uttar Pradesh,2626,1894,689,43,61.12,38.88
Uttarakhand,59,20,39,0,73.83,26.17
West Bengal,922,738,151,33,77.73,22.27
